schema_version	superseded_fingerprint	task_id	original_status	original_attempt	original_resume_status	provenance_state	file_set_state	file_name	sha256	bytes
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	candidate.diff	35cdc7e8196d9ac2bd382ca3a91a0b2a8e9266caea8f158ba48f8902616e66ce	314
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	implementation.md	b9c2b90acc3e388e91a5a1e712a3bcbd472d17746abee5ef121e11111561d3b6	1174
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	parity-review.md	89c3856245441a884713601fad2cd109add6a6af34b2c3fc1147cd154928d9f7	4711
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	resolution.md	a75d81b178645942d5b8908a49b81eaa26c47c8ff8d6ed0fdbc5d79fe481fe0f	2327
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	rust-review.md	726c055fbfc829559013932b7c05357d4849dac55db4a0a2aeafd643c576755d	3915
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-commit.json	0b0136b0e4436e7a2b26e8a334feeb8b41969a000b223f81c807d79b9f9913b0	2010
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-dispositions.tsv	2384b1fbe830c08379703d4a0f7bb50ba2cc610ad5fcee6da2d73b429b2f1379	2882
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-final.tsv	439bcfba6ecfc403726304a3ce0b6735a2f79fca7c40fd68f5e48b36e214c820	9328877
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-parity-review.tsv	346aed11670047937526efe78db346c4c9a01d348ab6baf1ddaf18753df8a037	1408
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-proposal.sha256	483031b9f42618d01b8e9c82226b28dc9b2fa2c6587e927b170437b140fe3fb9	370
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-proposal.tsv	439bcfba6ecfc403726304a3ce0b6735a2f79fca7c40fd68f5e48b36e214c820	9328877
task-evidence-quarantine-v2	943e5f2626a4c95a4f0d2e83171907bf6a5b5b86611106cd497ee846f13da0c0	S014598	BLOCKED	3		UNPROVEN_MIXED_OR_UNKNOWN	QUEUE_STAGE_FILESET_UNSPECIFIED	semantic-closure-rust-review.tsv	5de0a1404341f8f4e21a2a8f758a0c1bda8f5258d381bf4a25238eebf5ba28f6	1370
